"Date","Price","Open","High","Low","Vol.","Change %"
"11/20/2025","180.64","195.95","196.00","179.85","343.50M","-3.15%"
"11/19/2025","186.52","184.79","187.85","182.83","247.25M","2.85%"
"11/18/2025","181.36","183.38","184.80","179.65","213.60M","-2.81%"
"11/17/2025","186.60","185.96","189.00","184.32","173.63M","-1.88%"
"11/14/2025","190.17","182.86","191.01","180.58","186.59M","1.77%"
"11/13/2025","186.86","191.05","191.44","183.85","207.42M","-3.58%"
"11/12/2025","193.80","195.72","195.89","191.13","154.94M","0.33%"
"11/11/2025","193.16","195.15","195.42","191.30","176.48M","-2.96%"
"11/10/2025","199.05","195.11","199.94","193.79","198.90M","5.79%"
"11/07/2025","188.15","184.90","188.32","178.91","264.94M","0.04%"
"11/06/2025","188.08","196.42","197.62","186.38","223.03M","-3.65%"
"11/05/2025","195.21","198.77","202.92","194.65","171.35M","-1.75%"
"11/04/2025","198.69","203.00","203.97","197.93","188.92M","-3.96%"
"11/03/2025","206.88","208.08","211.34","205.56","180.27M","2.17%"
"10/31/2025","202.49","206.45","207.97","202.07","179.80M","-0.20%"
"10/30/2025","202.89","205.15","206.16","201.41","178.86M","-2.00%"
"10/29/2025","207.04","207.98","212.19","204.77","308.83M","2.99%"
"10/28/2025","201.03","193.05","203.15","191.91","297.99M","4.98%"
"10/27/2025","191.49","189.99","192.00","188.43","153.45M","2.81%"
"10/24/2025","186.26","183.84","187.47","183.50","131.30M","2.25%"
"10/23/2025","182.16","180.42","183.03","179.79","111.36M","1.04%"
"10/22/2025","180.28","181.14","183.44","176.76","162.25M","-0.49%"
"10/21/2025","181.16","182.79","182.79","179.80","124.24M","-0.81%"
"10/20/2025","182.64","183.13","185.20","181.73","128.54M","-0.32%"
"10/17/2025","183.22","180.18","184.10","179.75","173.14M","0.78%"
"10/16/2025","181.81","182.23","183.28","179.77","179.72M","1.10%"
"10/15/2025","179.83","184.80","184.87","177.29","214.45M","-0.11%"
"10/14/2025","180.03","184.77","184.80","179.70","205.64M","-4.40%"
"10/13/2025","188.32","187.96","190.11","185.96","153.48M","2.82%"
"10/10/2025","183.16","193.51","195.62","182.05","268.77M","-4.89%"
"10/09/2025","192.57","192.23","195.30","191.06","183.00M","1.83%"
"10/08/2025","189.11","186.57","189.60","186.54","130.17M","2.20%"
"10/07/2025","185.04","186.23","189.06","184.00","140.09M","-0.27%"
"10/06/2025","185.54","185.50","187.23","183.33","157.68M","-1.11%"
"10/03/2025","187.62","189.19","190.36","185.38","137.60M","-0.67%"
"10/02/2025","188.89","189.60","191.05","188.06","136.81M","0.88%"
"10/01/2025","187.24","185.24","188.14","183.90","173.84M","0.35%"
"09/30/2025","186.58","182.08","187.35","181.48","236.98M","2.60%"
"09/29/2025","181.85","180.43","184.00","180.32","193.06M","2.05%"
"09/26/2025","178.19","178.17","179.77","174.93","148.57M","0.28%"
"09/25/2025","177.69","174.48","180.26","173.13","191.59M","0.41%"
"09/24/2025","176.97","179.77","179.78","175.40","143.56M","-0.82%"
"09/23/2025","178.43","181.97","182.42","176.21","192.56M","-2.82%"
"09/22/2025","183.61","175.30","184.55","174.71","269.64M","3.93%"
"09/19/2025","176.67","175.77","178.08","175.18","237.18M","0.24%"
"09/18/2025","176.24","173.98","177.10","172.96","191.76M","3.49%"
"09/17/2025","170.29","172.64","173.20","168.41","211.84M","-2.62%"
"09/16/2025","174.88","177.00","177.50","174.38","140.74M","-1.61%"
"09/15/2025","177.75","175.67","178.85","174.51","147.06M","-0.04%"
"09/12/2025","177.82","177.77","178.60","176.45","124.91M","0.37%"
"09/11/2025","177.17","179.68","180.28","176.48","151.16M","-0.09%"
"09/10/2025","177.33","176.64","179.29","175.47","226.85M","3.85%"
"09/09/2025","170.76","169.09","170.98","166.74","157.55M","1.46%"
"09/08/2025","168.31","167.55","170.96","167.35","163.77M","0.77%"
"09/05/2025","167.02","168.03","169.03","164.07","224.44M","-2.70%"
"09/04/2025","171.66","170.57","171.86","169.41","141.67M","0.61%"
"09/03/2025","170.62","171.06","172.41","168.88","164.42M","-0.09%"
"09/02/2025","170.78","170.00","172.38","167.22","231.16M","-1.95%"
"08/29/2025","174.18","178.11","178.15","173.15","243.26M","-3.32%"
"08/28/2025","180.17","180.82","184.47","176.41","281.79M","-0.79%"
"08/27/2025","181.60","181.98","182.49","179.10","235.52M","-0.09%"
"08/26/2025","181.77","180.05","182.39","178.81","168.69M","1.09%"
"08/25/2025","179.81","178.35","181.91","176.57","163.01M","1.02%"
"08/22/2025","177.99","172.61","178.59","171.20","172.79M","1.72%"
"08/21/2025","174.98","174.85","176.90","173.81","140.04M","-0.24%"
"08/20/2025","175.40","175.16","176.00","168.80","215.14M","-0.14%"
"08/19/2025","175.64","182.43","182.50","175.49","185.23M","-3.50%"
"08/18/2025","182.01","180.60","182.94","180.59","132.01M","0.86%"
"08/15/2025","180.45","181.88","181.90","178.04","156.60M","-0.86%"
"08/14/2025","182.02","179.75","183.02","179.46","129.55M","0.24%"
"08/13/2025","181.59","182.62","183.97","179.35","179.87M","-0.86%"
"08/12/2025","183.16","182.96","184.48","179.46","145.73M","0.60%"
"08/11/2025","182.06","182.05","183.84","180.25","138.32M","-0.35%"
"08/08/2025","182.70","181.55","183.30","180.40","123.40M","1.07%"
"08/07/2025","180.77","181.57","183.88","178.79","151.88M","0.75%"
"08/06/2025","179.42","176.32","179.90","176.25","137.19M","0.65%"
"08/05/2025","178.26","179.62","180.26","175.90","156.41M","-0.97%"
"08/04/2025","180.00","175.16","180.20","174.52","148.17M","3.62%"
"08/01/2025","173.72","174.09","176.54","170.89","204.53M","-2.33%"
"07/31/2025","177.87","182.90","183.30","175.93","221.69M","-0.78%"
"07/30/2025","179.27","176.51","179.89","176.04","174.31M","2.14%"
"07/29/2025","175.51","177.96","179.38","175.02","154.08M","-0.70%"
"07/28/2025","176.75","174.02","177.00","173.97","140.02M","1.87%"
"07/25/2025","173.50","173.61","174.72","172.96","122.32M","-0.14%"
"07/24/2025","173.74","172.44","173.83","171.30","128.98M","1.73%"
"07/23/2025","170.78","169.53","171.26","167.97","154.08M","2.25%"
"07/22/2025","167.03","171.34","171.39","164.58","193.11M","-2.54%"
"07/21/2025","171.38","172.75","173.38","171.00","123.13M","-0.60%"
"07/18/2025","172.41","173.64","174.25","171.26","146.46M","-0.34%"
"07/17/2025","173.00","172.02","174.16","170.83","160.84M","0.95%"
"07/16/2025","171.37","171.06","171.75","168.90","158.83M","0.39%"
"07/15/2025","170.70","171.19","172.40","169.20","230.63M","4.04%"
"07/14/2025","164.07","165.37","165.49","162.02","136.98M","-0.52%"
"07/11/2025","164.92","163.71","167.89","163.47","193.63M","0.50%"
"07/10/2025","164.10","164.32","164.50","161.61","167.70M","0.75%"
"07/09/2025","162.88","161.22","164.42","161.16","183.66M","1.80%"
"07/08/2025","160.00","159.33","160.22","158.39","138.13M","1.11%"
"07/07/2025","158.24","158.20","159.31","157.34","140.14M","-0.69%"
"07/03/2025","159.34","158.37","160.98","157.77","143.72M","1.33%"
"07/02/2025","157.25","152.98","157.60","152.97","171.22M","2.58%"
"07/01/2025","153.30","156.29","157.20","151.49","213.14M","-2.97%"
"06/30/2025","157.99","158.40","158.66","155.96","194.58M","0.15%"
"06/27/2025","157.75","156.04","158.71","155.26","263.23M","1.76%"
"06/26/2025","155.02","155.98","156.71","154.00","198.15M","0.46%"
"06/25/2025","154.31","149.27","154.45","149.26","269.15M","4.33%"
"06/24/2025","147.90","145.56","147.96","145.50","187.57M","2.59%"
"06/23/2025","144.17","142.50","144.78","142.03","154.31M","0.22%"
"06/20/2025","143.85","145.45","146.20","142.65","242.96M","-1.12%"
"06/18/2025","145.48","144.01","145.65","143.12","161.49M","0.94%"
"06/17/2025","144.12","144.49","145.22","143.78","139.11M","-0.39%"
"06/16/2025","144.69","143.35","146.18","143.20","183.13M","1.92%"
"06/13/2025","141.97","142.48","143.58","140.85","180.82M","-2.09%"
